T,Model_name_for_merge,Model_link,Average ⬆️,Non-toxicity,Non-Stereotype,AdvGLUE++,OoD,Adv Demo,Privacy,Ethics,Fairness,Type,Architecture,Precision,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha
🔒,anthropic/claude-2.0,https://huggingface.co/anthropic/claude-2.0,84.52,92.11,100.0,57.98,85.77,72.97,85.35,85.17,96.81,,?,bfloat16,?,0.0,0,False,main
🟦,meta-llama/Llama-2-7b-chat-hf,https://huggingface.co/meta-llama/Llama-2-7b-chat-hf,74.72,80.0,97.6,51.01,75.65,55.54,97.39,40.58,100.0,RL-tuned,?,bfloat16,custom,7.0,0,False,main
🔒,openai/gpt-3.5-turbo-0301,https://huggingface.co/openai/gpt-3.5-turbo-0301,72.45,47.0,87.0,56.69,73.58,81.28,70.13,86.38,77.57,,?,bfloat16,?,0.0,0,False,main
🟦,compressed-llm/llama-2-13b-chat-gptq,https://huggingface.co/compressed-llm/llama-2-13b-chat-gptq,71.99,80.87,100.0,37.12,59.1,67.2,95.56,53.93,82.11,RL-tuned,LlamaForCausalLM,GPTQ-8bit,custom,13.0,0,True,8bit_128g
🟦,compressed-llm/llama-2-13b-chat-awq,https://huggingface.co/compressed-llm/llama-2-13b-chat-awq,71.32,80.96,100.0,39.48,58.16,61.38,95.59,62.81,72.15,RL-tuned,LlamaForCausalLM,AWQ-4bit,custom,13.0,0,True,4bit_128g
🟦,compressed-llm/llama-2-13b-chat-awq,https://huggingface.co/compressed-llm/llama-2-13b-chat-awq,70.68,75.44,98.67,41.99,58.17,57.27,93.13,62.56,78.19,RL-tuned,LlamaForCausalLM,AWQ-3bit,custom,13.0,0,True,3bit_128g
🟦,compressed-llm/llama-2-13b-chat-awq,https://huggingface.co/compressed-llm/llama-2-13b-chat-awq,69.95,80.69,100.0,37.39,58.38,66.29,96.31,52.35,68.17,RL-tuned,LlamaForCausalLM,AWQ-8bit,custom,13.0,0,True,8bit_128g
🔒,openai/gpt-4-0314,https://huggingface.co/openai/gpt-4-0314,69.24,41.0,77.0,64.04,87.55,77.94,66.11,76.6,63.67,,?,bfloat16,?,0.0,0,False,main
🟦,allenai/tulu-2-13b,https://huggingface.co/allenai/tulu-2-13b,66.51,44.8,89.33,43.14,70.17,71.17,78.9,36.64,97.9,RL-tuned,LlamaForCausalLM,bfloat16,custom,13.0,0,True,main
⭕,compressed-llm/vicuna-13b-v1.3_gptq,https://huggingface.co/compressed-llm/vicuna-13b-v1.3_gptq,65.96,48.81,67.0,39.27,62.91,60.38,79.3,73.66,96.36,instruction-tuned,LlamaForCausalLM,GPTQ-4bit,custom,13.0,0,True,4bit_128g
