Model_name,Model_link,Model_experiment_details,Average_open_llm_score ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,Type,Architecture,Weight type,Precision,Merged,Hub License,#Params (B),Hub ❤️,Not Available on HF,Model sha,Flagged,MoE,Average_llm_safety_score ⬆️,Non-toxicity,Non-Stereotype,AdvGLUE++,OoD,Adv Demo,Privacy,Ethics,Fairness,Experiment 🧪,Prefill (s),Decode (tokens/s),Memory (MB),Energy (tokens/kWh),chatbot_arena_rank ⬆️,Arena Elo,chatbot_arena_votes,Knowledge Cutoff,No Efficiency Data,No Safety Data,No Arena Data
0-hero/Matter-0.1-7B,https://huggingface.co/0-hero/Matter-0.1-7B,https://huggingface.co/datasets/open-llm-leaderboard/details_0-hero__Matter-0.1-7B,63.39,61.77,82.14,62.42,42.44,77.82,53.75,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.0,0.0,False,035c8193ce71be90be7d90098669afb9164ec6cb,True,True,,,,,,,,,,,,,,,,,,,True,True,True
0-hero/Matter-0.1-7B-DPO-preview,https://huggingface.co/0-hero/Matter-0.1-7B-DPO-preview,https://huggingface.co/datasets/open-llm-leaderboard/details_0-hero__Matter-0.1-7B-DPO-preview,64.87,62.71,82.99,62.7,45.79,78.85,56.18,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.0,0.0,False,78040e4754051df49dd907cf1fd46a6b8a6cc30f,True,True,,,,,,,,,,,,,,,,,,,True,True,True
0-hero/Matter-0.1-7B-boost,https://huggingface.co/0-hero/Matter-0.1-7B-boost,https://huggingface.co/datasets/open-llm-leaderboard/details_0-hero__Matter-0.1-7B-boost,63.22,62.63,81.51,61.97,54.7,75.93,42.61,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.0,0.0,False,ba56089eed1211f02e8d0ff47901e77b0cd48f83,True,True,,,,,,,,,,,,,,,,,,,True,True,True
0-hero/Matter-0.1-7B-boost-DPO,https://huggingface.co/0-hero/Matter-0.1-7B-boost-DPO,https://huggingface.co/datasets/open-llm-leaderboard/details_0-hero__Matter-0.1-7B-boost-DPO,65.99,65.02,83.08,61.87,60.29,75.61,50.04,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.0,0.0,True,5bee9978fcf2188f1070b67f6d94be344fdd99c0,True,True,,,,,,,,,,,,,,,,,,,True,True,True
0-hero/Matter-0.1-7B-boost-DPO-preview,https://huggingface.co/0-hero/Matter-0.1-7B-boost-DPO-preview,https://huggingface.co/datasets/open-llm-leaderboard/details_0-hero__Matter-0.1-7B-boost-DPO-preview,65.77,64.59,82.87,62.02,58.86,75.85,50.42,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.0,3.0,False,d390fb35a781129efd26d53f7ecdb513c0c3da27,True,True,,,,,,,,,,,,,,,,,,,True,True,True
0-hero/Matter-0.1-Slim-7B-A,https://huggingface.co/0-hero/Matter-0.1-Slim-7B-A,https://huggingface.co/datasets/open-llm-leaderboard/details_0-hero__Matter-0.1-Slim-7B-A,59.96,60.49,81.33,60.68,41.79,77.35,38.13,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.0,2.0,False,9259ec16319e314d0e189159302f0033cb01e964,True,True,,,,,,,,,,,,,,,,,,,True,True,True
0-hero/Matter-0.1-Slim-7B-B,https://huggingface.co/0-hero/Matter-0.1-Slim-7B-B,https://huggingface.co/datasets/open-llm-leaderboard/details_0-hero__Matter-0.1-Slim-7B-B,60.61,60.75,81.55,61.01,41.91,77.82,40.64,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.0,0.0,False,195d352943c0e71ddffb12eec30b479a07696d11,True,True,,,,,,,,,,,,,,,,,,,True,True,True
0-hero/Matter-0.1-Slim-7B-C,https://huggingface.co/0-hero/Matter-0.1-Slim-7B-C,https://huggingface.co/datasets/open-llm-leaderboard/details_0-hero__Matter-0.1-Slim-7B-C,62.23,61.35,81.76,61.45,43.49,77.98,47.38,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.0,0.0,False,ce9d68b563a4ad68ac6349672ca3b2f9ca492957,True,True,,,,,,,,,,,,,,,,,,,True,True,True
0-hero/Matter-0.1-Slim-7B-C-DPO,https://huggingface.co/0-hero/Matter-0.1-Slim-7B-C-DPO,https://huggingface.co/datasets/open-llm-leaderboard/details_0-hero__Matter-0.1-Slim-7B-C-DPO,63.44,63.48,83.12,60.63,46.53,78.45,48.45,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.0,0.0,False,129e2aecb1f5033821c0fbe148bb8aa994565112,True,True,,,,,,,,,,,,,,,,,,,True,True,True
0-hero/Matter-0.1-Slim-7B-preview,https://huggingface.co/0-hero/Matter-0.1-Slim-7B-preview,https://huggingface.co/datasets/open-llm-leaderboard/details_0-hero__Matter-0.1-Slim-7B-preview,61.51,59.98,80.66,61.53,42.55,77.35,47.01,🔶 fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.0,0.0,False,191ddd498835979ffc2b7bcb405f2f0d1cceed61,True,True,,,,,,,,,,,,,,,,,,,True,True,True
0-hero/Matter-0.2-32B,https://huggingface.co/0-hero/Matter-0.2-32B,https://huggingface.co/datasets/open-llm-leaderboard/details_0-hero__Matter-0.2-32B,68.72,63.23,84.22,74.34,52.52,82.0,56.03,🔶 fine-tuned on domain-specific datasets,Qwen2ForCausalLM,Original,bfloat16,True,apache-2.0,32.0,2.0,False,2ac6c856b96c25a4c81917288f795e8c7de35a32,True,True,,,,,,,,,,,,,,,,,,,True,True,True
0-hero/Matter-0.2-7B,https://huggingface.co/0-hero/Matter-0.2-7B,https://huggingface.co/datasets/open-llm-leaderboard/details_0-hero__Matter-0.2-7B,64.67,61.6,82.39,62.51,48.11,79.48,53.9,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.0,0.0,False,6c8b34cc3c1fd67b851781a389c582c3ba355ff4,True,True,,,,,,,,,,,,,,,,,,,True,True,True
0-hero/Matter-0.2-7B-DPO,https://huggingface.co/0-hero/Matter-0.2-7B-DPO,https://huggingface.co/datasets/open-llm-leaderboard/details_0-hero__Matter-0.2-7B-DPO,66.15,63.31,83.16,62.9,50.3,80.27,56.94,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.0,3.0,False,26a66f0d862e2024ce4ad0a09c37052ac36e8af6,True,True,,,,,,,,,,,,,,,,,,,True,True,True
01-ai/Yi-1.5-34B,https://huggingface.co/01-ai/Yi-1.5-34B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-1.5-34B,73.5,65.78,86.11,78.0,53.84,84.06,73.24,🟩 continuously pretrained,LlamaForCausalLM,Original,bfloat16,True,apache-2.0,34.0,37.0,False,856ce0b35802ced0033adb48beacea4995d9bb50,True,True,,,,,,,,,,,,,,,,,,,True,True,True
01-ai/Yi-1.5-34B-Chat,https://huggingface.co/01-ai/Yi-1.5-34B-Chat,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-1.5-34B-Chat,74.82,70.48,85.97,77.08,62.16,81.61,71.65,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,True,apache-2.0,34.0,133.0,False,fa695ee438bfcd0ec2b378fa1c7e0dea1b40393e,True,True,,,,,,,,,,,,,,,,,,,True,True,True
01-ai/Yi-1.5-6B,https://huggingface.co/01-ai/Yi-1.5-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-1.5-6B,61.57,57.25,77.92,64.73,44.02,75.14,50.34,🟩 continuously pretrained,LlamaForCausalLM,Original,bfloat16,True,apache-2.0,6.0,20.0,False,a548af01e90a2301ae97ef2302c7d69667dc2ab9,True,True,,,,,,,,,,,,,,,,,,,True,True,True
01-ai/Yi-1.5-6B-Chat,https://huggingface.co/01-ai/Yi-1.5-6B-Chat,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-1.5-6B-Chat,66.17,60.67,78.87,64.24,52.57,73.56,67.1,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,True,apache-2.0,6.0,22.0,False,f45214b80a7f662a53e78fa361894d37c22e7b59,True,True,,,,,,,,,,,,,,,,,,,True,True,True
01-ai/Yi-1.5-9B,https://huggingface.co/01-ai/Yi-1.5-9B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-1.5-9B,66.73,61.86,80.37,70.73,46.74,77.98,62.7,🟩 continuously pretrained,LlamaForCausalLM,Original,bfloat16,True,apache-2.0,8.0,34.0,False,9a6839c5b9db3dbb245fb98a072bfabc242621f2,True,True,,,,,,,,,,,,,,,,,,,True,True,True
01-ai/Yi-1.5-9B-Chat,https://huggingface.co/01-ai/Yi-1.5-9B-Chat,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-1.5-9B-Chat,69.56,63.65,80.94,71.01,52.67,77.19,71.87,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,True,apache-2.0,8.0,77.0,False,1dc6e2b8dcfc12b95bede8dec67e6b6332ac64c6,True,True,,,,,,,,,,,,,,,,,,,True,True,True
01-ai/Yi-34B,https://huggingface.co/01-ai/Yi-34B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-34B,69.42,64.59,85.69,76.35,56.23,83.03,50.64,🟢 pretrained,LlamaForCausalLM,Original,bfloat16,True,other,34.0,1256.0,False,cd8d59de87ea11c6453ee287ac82e5523f08c8ec,True,False,,,,,,,,,,4bit-awq-gemm-eager,2.805,0.378,20902.144,5115.087,,,,,False,True,True
01-ai/Yi-34B,https://huggingface.co/01-ai/Yi-34B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-34B,69.42,64.59,85.69,76.35,56.23,83.03,50.64,🟢 pretrained,LlamaForCausalLM,Original,bfloat16,True,other,34.0,1256.0,False,cd8d59de87ea11c6453ee287ac82e5523f08c8ec,True,False,,,,,,,,,,4bit-awq-gemm-sdpa,2.792,0.379,20902.143,5075.381,,,,,False,True,True
