Model,Organization,Global Average,Reasoning Average,Coding Average,Mathematics Average,Data Analysis Average,Language Average,IF Average,Model Link,model_std,rank,rank_stylectrl,model,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,model_name,model_url
o3 High,OpenAI,81.55,93.33,73.33,84.67,75.8,76.0,86.17,https://openai.com/index/introducing-o3-and-o4-mini/,,,,,,,,,,,,
o3 Medium,OpenAI,79.22,91.0,72.62,80.66,73.21,73.48,84.32,https://openai.com/index/introducing-o3-and-o4-mini/,,,,,,,,,,,,
o4-Mini High,OpenAI,78.13,88.11,74.33,84.9,70.43,66.05,84.96,https://openai.com/index/introducing-o3-and-o4-mini/,,,,,,,,,,,,
Gemini 2.5 Pro Experimental,Google,77.43,87.53,58.09,89.16,79.89,69.31,80.59,https://blog.google/technology/google-deepmind/gemini-model-thinking-updates-march-2025/,Gemini-2.5-Pro-Exp-03-25,1.0,1.0,Gemini-2.5-Pro-Exp-03-25,1437.0,+8/-6,7431.0,Google,Proprietary,Unknown,Gemini-2.5-Pro-Exp-03-25,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-pro-exp-03-25
o4-Mini Medium,OpenAI,72.75,78.47,61.81,81.02,70.96,62.41,81.83,https://openai.com/index/introducing-o3-and-o4-mini/,,,,,,,,,,,,
o1 High,OpenAI,72.18,77.47,57.14,79.28,65.47,72.15,81.55,https://openai.com/o1/,o1-2024-12-17,8.0,4.0,o1-2024-12-17,1350.0,+4/-5,27831.0,OpenAI,Proprietary,Unknown,o1-2024-12-17,https://openai.com/index/o1-and-new-tools-for-developers/
o3 Mini High,OpenAI,71.37,74.36,65.48,76.55,70.64,56.86,84.36,https://openai.com/index/openai-o3-mini/,o3-mini-high,14.0,13.0,o3-mini-high,1325.0,+6/-4,16889.0,OpenAI,Proprietary,Unknown,o3-mini-high,https://platform.openai.com/docs/guides/reasoning#reasoning-effort
Claude 3.7 Sonnet Thinking,Anthropic,70.57,76.17,44.67,79.0,74.05,68.27,81.25,https://www.anthropic.com/news/claude-3-7-sonnet,Claude 3.7 Sonnet (thinking-32k),16.0,5.0,Claude 3.7 Sonnet (thinking-32k),1303.0,+7/-6,7809.0,Anthropic,Proprietary,Unknown,Claude 3.7 Sonnet (thinking-32k),https://www.anthropic.com/news/claude-3-7-sonnet
Grok 3 Mini Beta (High),xAI,68.33,87.61,39.71,77.0,67.87,59.09,78.7,https://x.ai/blog/grok-3,,,,,,,,,,,,
DeepSeek R1,DeepSeek,67.47,76.58,48.48,77.91,67.6,54.77,79.49,https://huggingface.co/deepseek-ai/DeepSeek-R1,DeepSeek-R1,7.0,5.0,DeepSeek-R1,1359.0,+5/-5,15098.0,DeepSeek,MIT,Unknown,DeepSeek-R1,https://api-docs.deepseek.com/news/news250120
o3 Mini Medium,OpenAI,67.16,69.0,58.43,71.68,66.56,54.12,83.16,https://openai.com/index/openai-o3-mini/,o3-mini,16.0,18.0,o3-mini,1305.0,+5/-5,23693.0,OpenAI,Proprietary,Unknown,o3-mini,https://openai.com/index/openai-o3-mini/
QwQ 32B,Alibaba,65.69,76.72,43.0,76.08,65.03,51.48,81.83,https://qwenlm.github.io/blog/qwq-32b/,QwQ-32B,14.0,20.0,QwQ-32B,1315.0,+6/-8,6729.0,Alibaba,Apache 2.0,Unknown,QwQ-32B,https://huggingface.co/Qwen/QwQ-32B
GPT-4.5 Preview,OpenAI,62.13,54.42,49.0,67.94,64.33,64.76,72.33,https://openai.com/index/introducing-gpt-4-5/,GPT-4.5-Preview,2.0,2.0,GPT-4.5-Preview,1397.0,+5/-6,13443.0,OpenAI,Proprietary,Unknown,GPT-4.5-Preview,https://openai.com/index/introducing-gpt-4-5/
Gemini 2.0 Flash Thinking Experimental,Google,62.05,61.5,35.71,74.81,69.37,48.43,82.47,https://ai.google.dev/gemini-api/docs/thinking-mode,Gemini-2.0-Flash-Thinking-Exp-01-21,5.0,8.0,Gemini-2.0-Flash-Thinking-Exp-01-21,1380.0,+5/-4,25266.0,Google,Proprietary,Unknown,Gemini-2.0-Flash-Thinking-Exp-01-21,https://aistudio.google.com/prompts/new_chat?model=gemini-2.0-flash-thinking-exp-01-21
Gemini 2.0 Pro Experimental,Google,61.59,61.75,35.33,68.54,68.02,52.5,83.38,https://blog.google/technology/google-deepmind/gemini-model-updates-february-2025/,Gemini-2.0-Pro-Exp-02-05,5.0,4.0,Gemini-2.0-Pro-Exp-02-05,1380.0,+4/-5,20136.0,Google,Proprietary,Unknown,Gemini-2.0-Pro-Exp-02-05,https://aistudio.google.com/prompts/new_chat?model=gemini-2.0-pro-exp-02-05
o3 Mini Low,OpenAI,59.76,55.94,50.76,61.67,62.04,48.07,80.06,https://openai.com/index/openai-o3-mini/,,,,,,,,,,,,
GPT-4.1,OpenAI,58.41,44.39,42.95,62.39,69.13,54.55,77.05,https://openai.com/index/gpt-4-1/,,,,,,,,,,,,
Claude 3.7 Sonnet,Anthropic,58.21,49.11,32.43,64.65,63.37,63.19,76.49,https://www.anthropic.com/news/claude-3-7-sonnet,Claude 3.7 Sonnet,22.0,10.0,Claude 3.7 Sonnet,1295.0,+6/-6,13107.0,Anthropic,Proprietary,Unknown,Claude 3.7 Sonnet,https://www.anthropic.com/news/claude-3-7-sonnet
